,0
207,"Federal Employees and Their Children, of bright Smiling faces taken from their Families and loved ones without warn… https://t.co/TB4FvEhh53"
208,@warrenrumak @JustWadeOnItt @DAVIDprice24 Having ten teams off on Jackie Robinson day and not playing is like havin… https://t.co/FgISuCxh9d
209,"@MFKaufman @RepAdamSchiff Protecting law enforcement, placing a hiring freeze on federal employees, taking care of… https://t.co/2K84U46ITu"
210,"Then as the Interview drew to a close, an anouncement was made by the DJ, that several of our Fellow American were… https://t.co/knosBN4hR2"
211,"@umbut And, NIST wants to raise cap on royalties earned by federal employees to $.5 million, per year, on top of salary."
212,"Finally heading home after two months in #OKC for training. 

People dont realize how much we sacrifice as Federal… https://t.co/UBt2qc9q8c"
213,The agency entrusted to enforce merit principles and whistleblower rights for federal employees is shutdown because… https://t.co/cONl7qzrgS
214,@OatesBryce Everyday ERS &amp; NIFA employees feel like CRAP! Thank god they are holding a AFGE union election May 9th!… https://t.co/USYU8stwJD
215,Shutdown Causes Federal Employee's Mortgage Application to Be Denied Which Leads to New Bill :… https://t.co/8yGdUsYuUm
216,Lockheed Martin defeats case accusing it of retaliating against employees that called attention to alleged #NASA co… https://t.co/Vqecadqzv4
217,Shutdown Causes Federal Employee's Mortgage Application to Be Denied Which Leads to New Bill :… https://t.co/JZPBKCX35y
218,#Technology is changing the future of work and @NSF wants to prepare by helping employees plot career paths and con… https://t.co/GH9aORxNKR
219,TSA officers are among the lowest paid employees in the federal government and the agency refuses to do anything ab… https://t.co/Q4ZXZ8MTOz
220,Federal employees must remember they are being paid by the American taxpayer. So just be a decent human and you won… https://t.co/6uhz5Xhlu3
221,"@LindaLo98321437 @ChrisJZullo @realDonaldTrump @TuckerCarlson https://t.co/xCKqoYw9ae
They will all receive back pay ."
222,"@shizukera After this happened my mom's office got a permanent security guard, it was scary for all federal employe… https://t.co/FfHQr7Ot4Y"
223,"@AdamSchiff The scary part of the Mueller report is saying that federal employees can’t determine Trump’s guilt, bu… https://t.co/IRvVzKxT5u"
224,"Imagine if every federal employee and military service member acted like @realDonaldTrump contractors, doctors, IRS… https://t.co/0OjQOq6YsD"
225,@saragideon Key Finding 1: 95% of private-sector employees would be covered by the proposed paid family and medical… https://t.co/EozRroHvXy
226,@CathJSweeney only the finest for our federal employees?
227,@RandPaul Dear People of Twitter I ask on this day that we all take a Moment of Silence in Remembering the Victims… https://t.co/tSN66ErscN
228,"""The Department of Health and Human Services has issued a solicitation for a potential five-year, $347M follow-on c… https://t.co/9H9PUpOR50"
229,@realDonaldTrump Dear People of Twitter I ask on this day that we all take a Moment of Silence in Remembering the V… https://t.co/N5LCrKghRv
230,"@realDonaldTrump We NEED to push hard in uncovering the whos and hows of this witch hunt now, Mr. President.  If th… https://t.co/RXZGjdGUeq"
231,8:00 a.m. | An idyllic spring morning breaks as employees report to work at the Alfred P. Murrah Federal Building i… https://t.co/QYaT7RCRS1
